Item,Price, Link
Custom PCB x5,4,/hardware
PCBA Setup,8,
Stencil,1.5,
PCB Parts x2,20.07,/PCB-BOM.csv
Extended Parts Fee,81,
SMT Assembly,1.86,
X-ray Inspection (required),3.14,
Nitrogen Reflow Soldering,0.82,
Shipping,28.85,
Customs,66.22,
DAPLINK ,8.5, https://www.amazon.com/DAPLINK-Replaces-STLINK-downloader-Emulator/dp/B0CJLWST5G?crid=37G7MJJ8PDODB&dib=eyJ2IjoiMSJ9.LONWwnu2baBqUgajD8YgTeRN4Xe9SdWq2CWZj9h0t7N8Od4hUhg3FYs_pJB3ofSYGvR3SD7Xmf7qHTI7JBvrOPT3K4B6-szjSDsRNjNSHDNoK7fKdCvFnpVZmTFFgiVgGE3gweoAUxLau7OYdxGSqDspsOBbMQUSWdekekhBiZi43WipJDmFG7aQEzR-T1UNaR1NSxGKhk95WE_1FSXa2pftOqihV66EefQA54zipEY.lhAFbV3gpTY3rYXGPmu6VPxUQWc01xmbRizO2KXj_lI&dib_tag=se&keywords=DAPLINK&qid=1753411504&sprefix=daplink%2Caps%2C157&sr=8-4
JLCPCB special discount,-2,
Total,232.48,
