Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C0603",143.500000,-119.300000,90.000000,top
"C2","4.7uF","C0603",145.500000,-119.300000,90.000000,top
"C3","4.7uF","C0603",147.500000,-119.300000,-90.000000,top
"C4","10nF","C0402",153.500000,-97.950000,-90.000000,top
"C5","2.2uF","C0603",155.000000,-97.800000,-90.000000,top
"C6","10nF","C0402",153.500000,-103.450000,90.000000,top
"C7","2.2uF","C0603",155.000000,-103.300000,90.000000,top
"C8","10nF","C0402",149.950000,-95.450000,-90.000000,top
"C9","2.2uF","C0603",151.500000,-95.300000,-90.000000,top
"C10","10nF","C0402",142.450000,-102.500000,0.000000,top
"C11","1uF","C0402",142.450000,-104.000000,0.000000,top
"C12","10nF","C0402",147.000000,-95.450000,-90.000000,top
"C13","2.2uF","C0603",148.500000,-95.300000,-90.000000,top
"C14","10nF","C0402",156.500000,-94.450000,-90.000000,top
"C15","2.2uF","C0603",158.000000,-94.300000,-90.000000,top
"C16","10nF","C0402",157.500000,-97.950000,-90.000000,top
"C17","2.2uF","C0603",159.000000,-97.800000,-90.000000,top
"C18","10nF","C0402",156.500000,-103.450000,90.000000,top
"C19","2.2uF","C0603",158.000000,-103.300000,90.000000,top
"C20","6pF","C0402",161.500000,-105.950000,90.000000,top
"C21","6pF","C0402",162.000000,-96.450000,-90.000000,top
"C22","12pF","C0402",152.450000,-107.000000,180.000000,top
"C23","12pF","C0402",158.000000,-111.000000,-90.000000,top
"C24","6pF","C0402",143.450000,-126.000000,180.000000,top
"C25","6pF","C0402",143.450000,-124.500000,180.000000,top
"C26","47nF","C0402",139.500000,-112.450000,-90.000000,top
"C27","1uF","C0402",141.000000,-112.450000,-90.000000,top
"C28","100nF","C0402",145.450000,-105.500000,180.000000,top
"C29","100nF","C0402",142.000000,-117.950000,-90.000000,top
"C30","100nF","C0402",152.000000,-118.950000,90.000000,top
"C31","100nF","C0402",150.500000,-118.950000,90.000000,top
"C32","4.7uF","C0603",143.500000,-109.300000,-90.000000,top
"C33","0.8pF","C0402",155.950000,-117.000000,180.000000,top
"C34","100nF","C0402",145.450000,-107.000000,0.000000,top
"C35","100pF","C0402",134.050000,-102.780000,0.000000,top
"C36","10pF","C0402",134.050000,-101.280000,180.000000,top
"C37","100pF","C0402",136.550000,-99.780000,0.000000,top
"C38","680pF","C0402",136.550000,-98.250000,0.000000,top
"C39","62pF","C0402",131.600000,-99.230000,-90.000000,top
"C40","680pF","C0402",136.550000,-96.750000,180.000000,top
"C41","100pF","C0402",136.550000,-95.280000,0.000000,top
"C42","62pF","C0402",131.600000,-95.780000,-90.000000,top
"C43","10pF","C0402",134.050000,-93.780000,180.000000,top
"C44","100pF","C0402",134.050000,-92.280000,180.000000,top
"C45","1nF","C0402",134.450000,-106.000000,0.000000,top
"C46","1nF","C0402",134.450000,-108.000000,0.000000,top
"C47","100nF","C0402",160.000000,-124.500000,0.000000,top
"L1","10uH","L0603",144.000000,-113.800000,-90.000000,top
"L2","15nH","L0603",142.500000,-113.800000,90.000000,top
"L3","3.9nH","L0402",138.450000,-127.000000,0.000000,top
"L4","270nH","L0402",139.450000,-98.250000,0.000000,top
"L5","270nH","L0402",139.450000,-96.750000,0.000000,top
"LED1","ZSRGB-2017H-08-Z3","LED-SMD_4P-L2.0-W1.8-P0.90_XGM-S0807RGB",143.000000,-130.000000,90.000000,top
"LED2","ZSRGB-2017H-08-Z3","LED-SMD_4P-L2.0-W1.8-P0.90_XGM-S0807RGB",156.950000,-130.080000,90.000000,top
"Q1","WNM3013-3/TR","SOT-723_L1.2-W0.8-P0.40-LS1.2-BR",136.970000,-105.900000,0.000000,top
"Q2","WNM3013-3/TR","SOT-723_L1.2-W0.8-P0.40-LS1.2-BR",136.970000,-107.900000,0.000000,top
"R1","5.1k","R0402",147.430000,-125.000000,180.000000,top
"R2","5.1k","R0402",152.430000,-125.000000,0.000000,top
"R3","100K","R0603",137.250000,-103.000000,0.000000,top
"R4","100K","R0603",139.750000,-108.500000,0.000000,top
"R5","10k","R0402",156.570000,-124.500000,0.000000,top
"SW1","K2-6639SP-C4SC-04","KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0",166.500000,-121.300000,90.000000,top
"SW2","K2-6639SP-C4SC-04","KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0",166.500000,-110.300000,90.000000,top
"SW3","K2-6639SP-C4SC-04","KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0",166.500000,-99.300000,90.000000,top
"SW4","HX TS-1088-AR02016","SW-SMD_L4.0-W2.9-LS5.0",161.500000,-129.000000,0.000000,top
"U1","NRF52840-QIAA-R","XCVR_NRF52840-QIAA-R",149.700000,-112.600000,0.000000,top
"U2","ST25R3916-AQWT","QFN50P500X500X100-33N",148.750000,-100.435000,180.000000,top
"USB1","TYPE-C16PIN","USB-C-SMD_TYPE-C16PIN",150.000000,-129.905000,0.000000,top
"Y1","27MHz","CRYSTAL-SMD_4P-L2.0-W1.6-BL-B",160.850000,-101.950000,0.000000,top
"Y2","32MHz","CRYSTAL-SMD_4P-L2.0-W1.6-BL-2",157.700000,-107.430000,0.000000,top
"Y3","32.768kHz","OSC-SMD_L1.6-W1.0",141.500000,-122.500000,180.000000,top
